id,token0_symbol,token0_id,token1_symbol,token1_id
0x30ee4e8e49d81312b93f41778f6446827a080ade,EDC,0xae66bea480f7a6c91f07c58f2aee185883558fb8,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x5b1e45ca08fa4d65aa7fdcf9e116990fb7fce73b,pBTC35A,0xa8b12cc90abf65191532a12bb5394a714a46d358,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7
0xf0e3fdf48661cd10d56692f60bd4eccd01e9cf64,YAXIS,0x0ada190c81b814548ddc2f6adc4a689ce7c1fe73,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x3a8afc58b70b34a0a5615d3a5ffe623ca1fa92b8,NU,0x4fe83213d56308330ec302a8bd641f1d0113a4cc,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x4fda00d490c1c05ff15d7313d1cebe9c711e434b,WHALE,0x9355372396e3f6daf13359b7b607a3374cc638e0,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x8cab3e311702acb64e250926d77134fde604bd4d,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,DHT,0xca1207647ff814039530d7d35df0e1dd2e91fa84
0x424485f89ea52839fdb30640eb7dd7e0078e12fb,SDAO,0x993864e43caa7f7f12953ad6feb1d1ca635b875f,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0d9c6511980f80e477a774156492f5c133d2c0f3,SUPERBID,0x0563dce613d559a47877ffd1593549fb9d3510d6,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x7b28470032da06051f2e620531adbaeadb285408,MPL,0x33349b282065b0284d756f0577fb39c158f935e6,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x64c29aac69d3122f6e5531ceca1b753f95350af4,BOND,0x5dc02ea99285e17656b8350722694c35154db1e8,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
